Timestamp, Block Number, Base Fee (Gwei)
2023-12-04T05:17:59.000Z, 18710866, 37.019255276
2023-12-04T05:18:11.000Z, 18710867, 36.404399381
2023-12-04T05:18:23.000Z, 18710868, 36.422973815
2023-12-04T05:18:35.000Z, 18710869, 34.151361568
2023-12-04T05:18:47.000Z, 18710870, 34.627723542
2023-12-04T05:18:59.000Z, 18710871, 35.516398473
2023-12-04T05:19:11.000Z, 18710872, 34.44738566
2023-12-04T05:19:23.000Z, 18710873, 35.714905634
2023-12-04T05:19:35.000Z, 18710874, 37.464953272
2023-12-04T05:19:47.000Z, 18710875, 36.274723552
2023-12-04T05:19:59.000Z, 18710876, 37.259912396
2023-12-04T05:20:11.000Z, 18710877, 37.000711953
2023-12-04T05:20:23.000Z, 18710878, 36.938872047
2023-12-04T05:20:35.000Z, 18710879, 38.59011115
2023-12-04T05:20:47.000Z, 18710880, 37.345029638
2023-12-04T05:20:59.000Z, 18710881, 36.092642596
2023-12-04T05:21:11.000Z, 18710882, 39.2548697
2023-12-04T05:21:23.000Z, 18710883, 38.930510638
2023-12-04T05:21:35.000Z, 18710884, 37.930287521
2023-12-04T05:21:47.000Z, 18710885, 38.803426619
2023-12-04T05:21:59.000Z, 18710886, 39.441875565
2023-12-04T05:22:11.000Z, 18710887, 41.608226825
2023-12-04T05:22:23.000Z, 18710888, 44.574555677
2023-12-04T05:22:35.000Z, 18710889, 42.977695993
2023-12-04T05:22:47.000Z, 18710890, 45.911321288
2023-12-04T05:22:59.000Z, 18710891, 47.814791277
2023-12-04T05:23:11.000Z, 18710892, 46.722973591
2023-12-04T05:23:23.000Z, 18710893, 45.09951379
2023-12-04T05:23:35.000Z, 18710894, 44.125602193
2023-12-04T05:23:47.000Z, 18710895, 43.777433542
2023-12-04T05:23:59.000Z, 18710896, 44.247788502
2023-12-04T05:24:11.000Z, 18710897, 42.127790303
2023-12-04T05:24:23.000Z, 18710898, 42.204750052
2023-12-04T05:24:35.000Z, 18710899, 42.373768117
2023-12-04T05:24:47.000Z, 18710900, 40.982727708
2023-12-04T05:24:59.000Z, 18710901, 41.242761749
2023-12-04T05:25:11.000Z, 18710902, 43.336533034
2023-12-04T05:25:23.000Z, 18710903, 45.113100843
2023-12-04T05:25:35.000Z, 18710904, 44.491461111
2023-12-04T05:25:47.000Z, 18710905, 44.236249934
2023-12-04T05:25:59.000Z, 18710906, 43.399696369
2023-12-04T05:26:11.000Z, 18710907, 42.590481183
2023-12-04T05:26:23.000Z, 18710908, 43.835230586
2023-12-04T05:26:35.000Z, 18710909, 42.584566161
2023-12-04T05:26:47.000Z, 18710910, 43.477148959
2023-12-04T05:26:59.000Z, 18710911, 44.851124689
2023-12-04T05:27:11.000Z, 18710912, 45.057344553
2023-12-04T05:27:23.000Z, 18710913, 44.985110872
2023-12-04T05:27:35.000Z, 18710914, 44.42032543
2023-12-04T05:27:47.000Z, 18710915, 44.730853488
2023-12-04T05:27:59.000Z, 18710916, 44.548288983
2023-12-04T05:28:11.000Z, 18710917, 44.613907127
2023-12-04T05:28:23.000Z, 18710918, 46.505191403
2023-12-04T05:28:35.000Z, 18710919, 49.93082232
2023-12-04T05:28:47.000Z, 18710920, 48.610779118
2023-12-04T05:28:59.000Z, 18710921, 48.719907076
2023-12-04T05:29:11.000Z, 18710922, 49.052841056
2023-12-04T05:29:23.000Z, 18710923, 49.148416837
2023-12-04T05:29:35.000Z, 18710924, 48.228864293
2023-12-04T05:29:47.000Z, 18710925, 46.356460626
2023-12-04T05:29:59.000Z, 18710926, 46.566771002
2023-12-04T05:30:11.000Z, 18710927, 47.084064186
2023-12-04T05:30:23.000Z, 18710928, 51.487799434
2023-12-04T05:30:35.000Z, 18710929, 57.49076197
2023-12-04T05:30:47.000Z, 18710930, 55.494951963
2023-12-04T05:30:59.000Z, 18710931, 54.806624489
2023-12-04T05:31:11.000Z, 18710932, 54.390720766
2023-12-04T05:31:23.000Z, 18710933, 53.745479113
2023-12-04T05:31:35.000Z, 18710934, 52.935030432
2023-12-04T05:31:47.000Z, 18710935, 52.395821861
2023-12-04T05:31:59.000Z, 18710936, 51.617009492
2023-12-04T05:32:11.000Z, 18710937, 49.580801485
2023-12-04T05:32:23.000Z, 18710938, 50.12265519
2023-12-04T05:32:35.000Z, 18710939, 49.290419459
2023-12-04T05:32:47.000Z, 18710940, 48.429931551
2023-12-04T05:32:59.000Z, 18710941, 48.527404052
2023-12-04T05:33:11.000Z, 18710942, 49.029604451
2023-12-04T05:33:23.000Z, 18710943, 48.807248658
2023-12-04T05:33:35.000Z, 18710944, 48.504958117
2023-12-04T05:33:47.000Z, 18710945, 47.429522759
2023-12-04T05:33:59.000Z, 18710946, 46.901285936
2023-12-04T05:34:11.000Z, 18710947, 46.650281589
2023-12-04T05:34:23.000Z, 18710948, 47.761561271
2023-12-04T05:34:35.000Z, 18710949, 47.785096974
2023-12-04T05:34:47.000Z, 18710950, 45.666543107
2023-12-04T05:34:59.000Z, 18710951, 48.905352104
2023-12-04T05:35:11.000Z, 18710952, 53.515340131
2023-12-04T05:35:23.000Z, 18710953, 51.427682631
2023-12-04T05:35:35.000Z, 18710954, 49.611531591
2023-12-04T05:35:47.000Z, 18710955, 51.329561152
2023-12-04T05:35:59.000Z, 18710956, 50.578867604
2023-12-04T05:36:11.000Z, 18710957, 48.61294036
